Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Julio Rodríguez","SEA",74,326,13,39,35,9,0.076687116,0.202453987,0.177852349,0.277272727,0.248322147,0.30981595,0.426174496,0.3224956886584942,0.3412797951403959,109.65827298532534,0.42065893951803446,4.145638912624227,-2.203391134738922,1.3799049787753057,"Julio Rodriguez",23697,677594
"Christian Walker","HOU",74,307,18,42,52,0,0.081433224,0.214983713,0.249097473,0.257731958,0.245487364,0.315960912,0.494584837,0.3487723502956453,0.3140161483014216,121.5781917109706,-0.2785949679091573,7.55859345943957,-5.173154234886169,1.3561886237859446,"Christian Walker",13419,572233
"Kazuma Okamoto","TOR",71,291,15,35,42,0,0.099656357,0.323024054,0.210116731,0.3,0.233463035,0.316151202,0.443579766,0.33333066095601244,0.3269598262826192,111.1166396076521,-1.4503431878983974,2.3767882801253855,0.5299652814865112,1.3513114359322753,"Kazuma Okamoto",37123,672960
"Taylor Ward","BAL",73,336,3,46,20,2,0.1875,0.199404761,0.097014925,0.33,0.257462686,0.401785714,0.354477611,0.34977339434979565,0.35841923044688667,123.12347806006576,-2.56801007501781,6.623763150838352,-5.349142551422119,1.3481162027593214,"Taylor Ward",17548,621493
"Ernie Clement","TOR",72,292,7,34,28,2,0.030821917,0.102739726,0.153024911,0.31300813,0.298932384,0.31849315,0.451957295,0.3346770356779229,0.27094108869939326,112.03125168878701,-0.018956719897687435,4.1372824345886166,-1.4988926649093628,1.3275852708909606,"Ernie Clement",20352,676391
"Casey Schmitt","SFG",65,274,15,33,38,6,0.025547445,0.200729927,0.232558139,0.298429319,0.279069767,0.310218978,0.511627906,0.35292890950711103,0.34404695735258223,127.11525055020957,0.2729007378220558,9.028645757109544,-4.949529707431793,1.3148778501897072,"Casey Schmitt",27577,669477
"Sal Stewart","CIN",72,314,14,39,47,11,0.130573248,0.203821656,0.203703704,0.278350515,0.251851851,0.350318471,0.455555555,0.35151762805184367,0.36666928030083284,118.84234713763773,-0.7955732643604279,6.177007764143099,-3.410819962620735,1.3123236879451112,"Sal Stewart",31505,701398
"Jonathan Aranda","TBR",69,301,11,35,48,0,0.136212624,0.242524916,0.172,0.331395348,0.272,0.375415282,0.444,0.3587293636878865,0.3732791448043565,126.89091575529702,-1.243404514156282,8.332481184044957,-6.216666340827942,1.3069546829499967,"Jonathan Aranda",21837,666018
"Alex Bregman","CHC",73,333,6,33,22,2,0.105105105,0.165165165,0.103092784,0.288793103,0.250859106,0.339339339,0.35395189,0.3126243441126498,0.3148880698464134,99.0256280182798,-0.6294385958462954,-1.011821037430439,2.8936798572540283,1.284540996386707,"Alex Bregman",17678,608324
"Dominic Canzone","SEA",65,185,10,25,29,1,0.086486486,0.189189189,0.268292683,0.305785123,0.286585365,0.356756756,0.554878048,0.3906350403218656,0.3888058224239865,155.94633322429658,-0.26076949108392,11.983988947825637,-5.966029509902,1.284092122615399,"Dominic Canzone",26438,686527
"Daylen Lile","WSN",73,319,8,42,37,7,0.075235109,0.169278996,0.159722222,0.291304347,0.260416666,0.319749216,0.420138888,0.3232138773555276,0.327749956293437,104.46589985414155,0.08732425607740879,1.7662387726867048,0.45479726791381836,1.273169055786567,"Daylen Lile",29995,695734
"Tyler Soderstrom","ATH",70,296,12,35,39,1,0.128378378,0.182432432,0.23046875,0.261780104,0.2421875,0.341216216,0.47265625,0.35096560418605804,0.3325890609898518,119.68810935227143,-0.2169581800699234,6.677538863613475,-4.786583662033081,1.2659088016085183,"Tyler Soderstrom",27467,691016
"Ketel Marte","ARI",69,304,11,39,41,0,0.072368421,0.148026315,0.182795699,0.265486725,0.254480286,0.305921052,0.437275985,0.32352185406182943,0.3667333221435547,103.6664924689349,-0.5167291890829802,0.7968410553934306,1.5589573085308075,1.237681537016786,"Ketel Marte",13613,606466
"Jung Hoo Lee","SFG",65,262,3,35,25,3,0.041984732,0.095419847,0.114285715,0.354545454,0.330612244,0.362595419,0.444897959,0.3542843445111777,0.33561148223292325,128.03958177928698,-0.45100775826722383,8.206676518653282,-4.5787107944488525,1.2295183193972028,"Jung Hoo Lee",33824,808982
"Isaac Paredes","HOU",68,283,10,29,35,0,0.106007067,0.169611307,0.179166667,0.25,0.233333333,0.342756183,0.4125,0.33797273471582906,0.3271055996628616,114.24185456784825,-1.105295231565833,3.6629638864216814,-2.0725292451679707,1.1881466101097258,"Isaac Paredes",20036,670623
